Price,Address,Beds,Baths,Type,Link
"$989,900","#401 -1003 QUEEN ST E, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/401-1003-queen-st-e-wp_idm73000004-26872274-lst
"$1,999,000","96 EATON AVE, Toronto, ON",3,4,House,https://www.remax.ca/on/toronto-real-estate/96-eaton-ave-wp_idm73000004-26872255-lst
"$750,000","#209 -980 YONGE ST, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/209-980-yonge-st-wp_idm73000004-26872236-lst
"$2,395","#14 -510 JARVIS ST, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/14-510-jarvis-st-wp_idm73000004-26872235-lst
"$598,000","#406 -34 TUBMAN AVE, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/406-34-tubman-ave-wp_idm73000004-26872231-lst
"$1,395,000","32 BELVIDERE AVE, Toronto, ON",3,2,House,https://www.remax.ca/on/toronto-real-estate/32-belvidere-ave-wp_idm73000004-26872230-lst
"$769,000","#323 -900 MOUNT PLEASANT RD, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/323-900-mount-pleasant-rd-wp_idm73000004-26872229-lst
"$1,199,000","#1212 -501 YONGE ST, Toronto, ON",3,2,Condo,https://www.remax.ca/on/toronto-real-estate/1212-501-yonge-st-wp_idm73000004-26872228-lst
"$1,999,000","561 ARLINGTON AVE, Toronto, ON",3,4,House,https://www.remax.ca/on/toronto-real-estate/561-arlington-ave-wp_idm73000004-26872225-lst
"$639,900","#444 -20 INN ON THE PARK DR, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/444-20-inn-on-the-park-dr-wp_idm73000004-26872223-lst
"$799,900","#1 -89 LILLIAN ST, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/1-89-lillian-st-wp_idm73000004-26872217-lst
"$675,000","#316 -36 LISGAR ST, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/316-36-lisgar-st-wp_idm73000004-26872216-lst
"$3,689,000","16 ROWANWOOD AVE, Toronto, ON",3,4,House,https://www.remax.ca/on/toronto-real-estate/16-rowanwood-ave-wp_idm73000004-26872214-lst
"$670,000","#301 -569 KING ST E, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/301-569-king-st-e-wp_idm73000004-26872212-lst
"$560,000","#811 -12 YORK ST, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/811-12-york-st-wp_idm73000004-26872210-lst
"$2,395,000","#1102 -61 ST CLAIR AVE W, Toronto, ON",2,3,Condo,https://www.remax.ca/on/toronto-real-estate/1102-61-st-clair-ave-w-wp_idm73000004-26872208-lst
"$625,000","#408 -2603 BATHURST ST, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/408-2603-bathurst-st-wp_idm73000004-26872207-lst
"$674,888","#PH03 -10 WILLISON SQ, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/ph03-10-willison-sq-wp_idm73000004-26872205-lst
"$699,000","#210 -901 QUEEN ST W, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/210-901-queen-st-w-wp_idm73000004-26872204-lst
"$798,000","#206 -1 BELSIZE DR, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/206-1-belsize-dr-wp_idm73000004-26872203-lst
"$2,775,000","47 NORTHCOTE AVE, Toronto, ON",N/A,0,House,https://www.remax.ca/on/toronto-real-estate/47-northcote-ave-wp_idm73000004-26872195-lst
"$2,299,000","623 VESTA DR, Toronto, ON",5,4,House,https://www.remax.ca/on/toronto-real-estate/623-vesta-dr-wp_idm73000004-26872190-lst
